time,close,signal,position,strategy_returns,rsi_2,rsi_9,rsi_34,ema_34,ema_144,ema_21,returns,cumulative,total_commission
2025-08-26 11:30:00,3377.7,hold,0.0,0.0,,,,3377.7,3377.7,3377.7,0.0,1.0,41.29999999999979
2025-08-26 11:45:00,3376.62,hold,0.0,0.0,0.0,,,3377.6382857142858,3377.6851034482756,3377.601818181818,-0.0003197442046363186,1.0,
2025-08-26 12:00:00,3376.9,hold,0.0,0.0,20.588235294130428,,,3377.5960979591837,3377.674274435196,3377.5380165289253,8.292315984625986e-05,1.0,
2025-08-26 12:15:00,3375.26,hold,0.0,0.0,14.583333333343191,,,3377.46260664723,3377.6409740981585,3377.3309241172046,-0.00048565252154342264,1.0,
2025-08-26 12:30:00,3372.5,hold,0.0,0.0,0.0,,,3377.179029124531,3377.5700641105973,3376.8917491974585,-0.0008177147834538268,1.0,
2025-08-26 12:45:00,3372.0,hold,0.0,0.0,0.0,,,3376.883084603129,3377.4932356401064,3376.4470447249623,-0.0001482579688658614,1.0,
2025-08-26 13:00:00,3371.59,hold,0.0,0.0,0.0,,,3376.5806226258073,3377.411811700243,3376.005495204511,-0.00012158956109131758,1.0,
2025-08-26 13:15:00,3370.67,hold,0.0,0.0,0.0,,,3376.2428727614756,3377.318821194033,3375.520450185919,-0.0002728682906284474,1.0,
2025-08-26 13:30:00,3369.38,hold,0.0,0.0,0.0,3.1531531531553583,,3375.850708603677,3377.209320212046,3374.9622274417447,-0.00038271322912064587,1.0,
2025-08-26 13:45:00,3371.99,hold,0.0,0.0,66.92307692307477,25.152306353350113,,3375.6300966834665,3377.1373295884314,3374.692024947041,0.0007746232244507656,1.0,
2025-08-26 14:00:00,3376.35,hold,0.0,0.0,100.0,49.08598510494251,,3375.6712340158397,3377.12646986997,3374.8427499518552,0.0012930050207742294,1.0,
2025-08-26 14:15:00,3378.32,hold,0.0,0.0,100.0,54.31348724179851,,3375.8225920720774,3377.142932354522,3375.1588635925955,0.0005834703155775944,1.0,
2025-08-26 14:30:00,3378.93,hold,0.0,0.0,100.0,61.89241736876104,,3376.000158239387,3377.167581563425,3375.501694175087,0.0001805631201305946,1.0,
2025-08-26 14:45:00,3377.49,hold,0.0,0.0,29.75609756096361,67.68249468462048,,3376.0852920542793,3377.1720287142743,3375.682449250079,-0.00042617041489467766,1.0,
2025-08-26 15:00:00,3377.97,hold,0.0,0.0,25.0,71.18523775727442,,3376.1929896511774,3377.1830352147667,3375.890408409163,0.0001421173711839696,1.0,
2025-08-26 15:15:00,3376.91,hold,0.0,0.0,31.168831168833094,68.04613297150539,,3376.23396167111,3377.1792692118042,3375.9830985537847,-0.00031379793189401095,1.0,
2025-08-26 15:30:00,3378.14,hold,0.0,0.0,53.711790393014745,74.81727574750809,,3376.3428781470466,3377.192520670952,3376.1791805034404,0.00036423831254017713,1.0,
2025-08-26 15:45:00,3371.94,hold,0.0,0.0,16.55450874831824,56.412825651302605,,3376.0912851100725,3377.1200721099735,3375.793800457673,-0.0018353295008495252,1.0,
2025-08-26 16:00:00,3372.52,hold,0.0,0.0,8.55457227138568,51.47796988287842,,3375.8872116752113,3377.056622839491,3375.496182234248,0.00017200780559556428,1.0,
2025-08-26 16:15:00,3373.71,hold,0.0,0.0,100.0,41.05691056910598,,3375.7627995794846,3377.0104625244635,3375.3338020311344,0.00035285187337663615,1.0,
2025-08-26 16:30:00,3377.47,hold,0.0,0.0,100.0,47.43202416918308,,3375.8603538892285,3377.016800972402,3375.528001846486,0.0011145000607639677,1.0,
2025-08-26 16:45:00,3375.72,hold,0.0,0.0,68.2395644283108,40.92707744488381,,3375.8523336669864,3376.998914062438,3375.545456224078,-0.000518139317299604,1.0,
2025-08-26 17:00:00,3371.48,hold,0.0,0.0,0.0,35.33430941922899,,3375.6024860288726,3376.9227911098524,3375.1758692946164,-0.00125602834358296,1.0,
2025-08-26 17:15:00,3374.2,hold,0.0,0.0,39.080459770114416,41.70699516058045,,3375.52234397008,3376.8852353704065,3375.0871539041964,0.0008067673543963316,1.0,
2025-08-26 17:30:00,3376.41,hold,0.0,0.0,100.0,48.95309882747065,,3375.5730671717897,3376.87868039978,3375.207412640178,0.0006549700669788994,1.0,
2025-08-26 17:45:00,3379.35,hold,0.0,0.0,100.0,52.36420476748745,,3375.7888919048305,3376.9127675666796,3375.584011491071,0.0008707473322255854,1.0,
2025-08-26 18:00:00,3381.42,buy,0.33333333333333326,0.0,100.0,72.08760484622601,,3376.110669510269,3376.9749362898974,3376.1145559009738,0.0006125438323938415,1.0,
2025-08-26 18:15:00,3381.95,hold,0.0,-0.0006261502366685656,100.0,72.02241943017304,,3376.4443455382534,3377.0435578583124,3376.645050819067,0.0001567388848471296,0.9993738497633314,
2025-08-26 18:30:00,3384.76,hold,0.0,0.0,100.0,73.99044724272754,,3376.9195257932106,3377.1499915430254,3377.382773471879,0.0008308815919810808,0.9993738497633314,
2025-08-26 18:45:00,3386.67,buy,0.0,0.0,100.0,71.71860245514718,,3377.476695747884,3377.2813020045005,3378.227066792617,0.0005642940710715028,0.9993738497633314,
2025-08-26 19:00:00,3385.3,hold,0.0,0.0,58.23170731707326,73.02884615384738,,3377.923741705148,3377.3919047354725,3378.870060720561,-0.0004045271608984491,0.9993738497633314,
2025-08-26 19:15:00,3384.5,hold,0.0,0.0,0.0,87.49999999999967,,3378.2995278934254,3377.4899474287763,3379.3818733823277,-0.00023631583611505302,0.9993738497633314,
2025-08-26 19:30:00,3383.35,hold,0.0,0.0,0.0,78.97403419885956,,3378.5881262995154,3377.5707757401037,3379.7426121657527,-0.00033978431082881677,0.9993738497633314,
2025-08-26 19:45:00,3382.99,hold,0.0,0.0,0.0,73.60114777618253,54.465642410940404,3378.839661939543,3377.6455236609295,3380.0378292415935,-0.00010640341673195941,0.9993738497633314,
2025-08-26 20:00:00,3383.38,hold,0.0,0.0,52.00000000001213,67.69095697980651,54.76350218047661,3379.0991098287122,3377.724619886296,3380.341662946903,0.000115282634592484,0.9993738497633314,
