time,open,high,low,close,tick_volume,spread,real_volume,volatility,tr,atr,rsi,macd,macd_signal,macd_hist,stoch_k,stoch_d,ema_50,ema_200,sr_distance,returns,signal,position,strategy_returns,cumulative,total_commission
2025-08-26 11:30:00,3378.81,3379.86,3377.2,3377.7,813,16,0,,,,,0.0,0.0,0.0,,,3377.7,3377.7,,0.0,hold,0,0.0,1.0,6.0499999999999865
2025-08-26 11:45:00,3377.56,3378.79,3376.46,3376.62,982,17,0,,2.3299999999999272,,,-0.024230769230598526,-0.013461538461443625,-0.0107692307691549,,,3377.1491999999994,3377.1572999999994,,-0.0003197442046363186,hold,0,0.0,1.0,
2025-08-26 12:00:00,3376.6,3377.51,3374.57,3376.9,835,15,0,,2.9400000000000546,,,-0.022192026242919383,-0.01703960722434352,-0.005152419018575861,,,3377.0627889614716,3377.070674244381,,8.292315984625986e-05,hold,0,0.0,1.0,
2025-08-26 12:15:00,3376.91,3378.56,3374.57,3375.26,911,14,0,,3.9899999999997817,,,-0.07993247110107404,-0.03834477791429288,-0.04158769318678116,,,3376.584696681327,3376.6111931351716,,-0.00048565252154342264,hold,0,0.0,1.0,
2025-08-26 12:30:00,3375.28,3375.28,3371.64,3372.5,1064,11,0,,3.6400000000003274,,,-0.21945173738731683,-0.0922200038403471,-0.1272317335469697,,,3375.701122158877,3375.7724279265344,,-0.0008177147834538268,hold,0,0.0,1.0,
2025-08-26 12:45:00,3372.42,3373.51,3369.62,3372.0,1074,14,0,,3.8900000000003274,,,-0.3205770671461323,-0.15411746440332558,-0.16645960274280674,,,3375.02097281251,3375.1278672304925,,-0.0001482579688658614,hold,0,0.0,1.0,
2025-08-26 13:00:00,3372.05,3375.12,3370.92,3371.59,868,5,0,,4.199999999999818,,,-0.39848158878430695,-0.2159595052425221,-0.18252208354178484,,,3374.4700987332412,3374.607169629309,,-0.00012158956109131758,hold,0,0.0,1.0,
2025-08-26 13:15:00,3371.67,3372.91,3370.37,3370.67,673,5,0,,2.5399999999999636,,,-0.48806693161895964,-0.2813520367820672,-0.20671489483689243,,,3373.9259829979287,3374.097626940022,,-0.0002728682906284474,hold,0,0.0,1.0,
2025-08-26 13:30:00,3370.52,3370.72,3367.29,3369.38,997,5,0,,3.4299999999998363,,,-0.6066785460557185,-0.35650407437741566,-0.2501744716783028,,,3373.336369583849,3373.55223558199,,-0.00038271322912064587,hold,0,0.0,1.0,
2025-08-26 13:45:00,3369.41,3372.59,3369.01,3371.99,763,5,0,,3.5799999999999272,,,-0.5475525708320674,-0.3993100279332569,-0.14824254289881056,,,3373.1762352460273,3373.38888871639,,0.0007746232244507656,hold,0,0.0,1.0,
2025-08-26 14:00:00,3372.16,3377.16,3370.67,3376.35,1091,15,0,,6.489999999999782,,,-0.26486673606723343,-0.36989460387334644,0.105027867806113,,,3373.525844470225,3373.6717410852943,,0.0012930050207742294,hold,0,0.0,1.0,
2025-08-26 14:15:00,3376.44,3378.41,3375.89,3378.32,1007,5,0,,2.519999999999982,,,0.054201806176479295,-0.27881648091133476,0.33301828708781406,,,3374.0189671789162,3374.0807537165333,,0.0005834703155775944,hold,0,0.0,1.0,
