time,open,high,low,close,tick_volume,spread,real_volume
2025-10-15 19:25:00,4199.05,4199.81,4196.06,4197.13,415,18,0
2025-10-15 19:30:00,4197.08,4198.33,4193.21,4195.22,432,6,0
2025-10-15 19:35:00,4195.07,4195.77,4190.06,4191.07,451,8,0
2025-10-15 19:40:00,4190.69,4196.73,4190.26,4196.73,473,5,0
2025-10-15 19:45:00,4196.75,4197.54,4193.0,4196.91,433,14,0
2025-10-15 19:50:00,4197.09,4197.76,4194.91,4195.3,405,5,0
2025-10-15 19:55:00,4195.25,4199.66,4195.09,4198.9,423,14,0
2025-10-15 20:00:00,4198.91,4199.51,4196.36,4198.08,447,17,0
2025-10-15 20:05:00,4198.06,4199.6,4194.2,4196.24,441,16,0
2025-10-15 20:10:00,4196.15,4196.15,4183.33,4185.57,507,18,0
2025-10-15 20:15:00,4185.64,4192.98,4184.43,4189.04,525,5,0
2025-10-15 20:20:00,4188.96,4193.19,4185.61,4187.17,498,10,0
2025-10-15 20:25:00,4187.12,4191.28,4182.59,4188.45,487,14,0
2025-10-15 20:30:00,4188.6,4191.81,4186.32,4189.06,470,5,0
2025-10-15 20:35:00,4188.86,4191.45,4187.78,4190.89,426,13,0
2025-10-15 20:40:00,4190.86,4193.19,4190.56,4192.98,450,8,0
2025-10-15 20:45:00,4192.92,4196.92,4192.2,4194.43,448,7,0
2025-10-15 20:50:00,4194.1,4197.02,4193.84,4196.21,405,5,0
2025-10-15 20:55:00,4196.26,4197.71,4194.85,4197.71,402,15,0
2025-10-15 21:00:00,4197.77,4201.27,4196.39,4200.74,437,5,0
2025-10-15 21:05:00,4200.77,4204.16,4200.72,4202.91,479,9,0
2025-10-15 21:10:00,4203.01,4204.6,4198.23,4199.87,487,18,0
2025-10-15 21:15:00,4200.13,4200.68,4196.6,4198.29,444,5,0
2025-10-15 21:20:00,4198.26,4198.64,4195.24,4198.17,446,14,0
2025-10-15 21:25:00,4198.38,4199.93,4197.08,4197.97,426,18,0
2025-10-15 21:30:00,4197.75,4200.14,4196.58,4199.12,399,18,0
2025-10-15 21:35:00,4198.86,4199.39,4197.45,4198.7,347,5,0
2025-10-15 21:40:00,4198.71,4199.67,4197.86,4198.99,365,16,0
2025-10-15 21:45:00,4199.12,4199.12,4195.58,4197.52,427,5,0
2025-10-15 21:50:00,4197.54,4200.26,4197.23,4198.72,381,17,0
2025-10-15 21:55:00,4198.72,4201.4,4198.01,4200.48,398,12,0
2025-10-15 22:00:00,4200.5,4205.35,4200.16,4204.54,457,9,0
2025-10-15 22:05:00,4204.44,4205.13,4202.25,4204.38,418,11,0
2025-10-15 22:10:00,4204.29,4206.18,4202.99,4205.62,428,17,0
2025-10-15 22:15:00,4205.58,4210.47,4205.1,4210.24,436,5,0
2025-10-15 22:20:00,4210.25,4211.93,4209.09,4209.6,453,13,0
2025-10-15 22:25:00,4209.62,4211.23,4208.14,4210.78,459,5,0
2025-10-15 22:30:00,4210.81,4212.45,4210.03,4211.3,439,6,0
2025-10-15 22:35:00,4211.1,4211.59,4206.73,4206.78,466,19,0
2025-10-15 22:40:00,4206.91,4207.3,4205.63,4206.04,441,14,0
2025-10-15 22:45:00,4206.12,4212.07,4205.97,4211.52,458,5,0
2025-10-15 22:50:00,4211.59,4212.72,4210.24,4212.39,442,6,0
2025-10-15 22:55:00,4212.45,4213.14,4210.0,4210.42,463,5,0
2025-10-15 23:00:00,4210.0,4212.9,4208.61,4211.14,348,18,0
2025-10-15 23:05:00,4211.13,4211.49,4209.31,4209.81,299,18,0
2025-10-15 23:10:00,4209.84,4211.76,4209.06,4209.09,296,18,0
2025-10-15 23:15:00,4209.07,4209.96,4207.42,4207.68,267,18,0
2025-10-15 23:20:00,4207.75,4208.51,4206.04,4208.12,315,9,0
2025-10-15 23:25:00,4208.11,4209.26,4207.27,4207.62,291,19,0
2025-10-15 23:30:00,4207.63,4208.81,4207.42,4207.42,218,19,0
2025-10-15 23:35:00,4207.37,4211.3,4207.1,4210.81,286,19,0
2025-10-15 23:40:00,4210.79,4211.4,4209.48,4210.63,349,12,0
2025-10-15 23:45:00,4210.64,4210.71,4209.76,4209.92,311,19,0
