time,open,high,low,close,tick_volume,spread,real_volume,volatility,tr,atr,sr_distance,returns,signal,position,strategy_returns,cumulative,total_commission
2025-08-26 11:30:00,3378.81,3379.86,3377.2,3377.7,813,16,0,,,,,0.0,hold,0,0.0,1.0,52.15000000000019
2025-08-26 11:45:00,3377.56,3378.79,3376.46,3376.62,982,17,0,,2.3299999999999272,,,-0.0003197442046363186,hold,0,0.0,1.0,
2025-08-26 12:00:00,3376.6,3377.51,3374.57,3376.9,835,15,0,,2.9400000000000546,,,8.292315984625986e-05,hold,0,0.0,1.0,
2025-08-26 12:15:00,3376.91,3378.56,3374.57,3375.26,911,14,0,,3.9899999999997817,,,-0.00048565252154342264,hold,0,0.0,1.0,
2025-08-26 12:30:00,3375.28,3375.28,3371.64,3372.5,1064,11,0,,3.6400000000003274,,,-0.0008177147834538268,hold,0,0.0,1.0,
2025-08-26 12:45:00,3372.42,3373.51,3369.62,3372.0,1074,14,0,,3.8900000000003274,,,-0.0001482579688658614,hold,0,0.0,1.0,
2025-08-26 13:00:00,3372.05,3375.12,3370.92,3371.59,868,5,0,,4.199999999999818,,,-0.00012158956109131758,hold,0,0.0,1.0,
2025-08-26 13:15:00,3371.67,3372.91,3370.37,3370.67,673,5,0,,2.5399999999999636,,,-0.0002728682906284474,hold,0,0.0,1.0,
2025-08-26 13:30:00,3370.52,3370.72,3367.29,3369.38,997,5,0,,3.4299999999998363,,,-0.00038271322912064587,hold,0,0.0,1.0,
2025-08-26 13:45:00,3369.41,3372.59,3369.01,3371.99,763,5,0,,3.5799999999999272,,,0.0007746232244507656,hold,0,0.0,1.0,
2025-08-26 14:00:00,3372.16,3377.16,3370.67,3376.35,1091,15,0,,6.489999999999782,,,0.0012930050207742294,hold,0,0.0,1.0,
2025-08-26 14:15:00,3376.44,3378.41,3375.89,3378.32,1007,5,0,,2.519999999999982,,,0.0005834703155775944,hold,0,0.0,1.0,
2025-08-26 14:30:00,3378.34,3379.63,3376.4,3378.93,1075,13,0,,3.230000000000018,,,0.0001805631201305946,hold,0,0.0,1.0,
2025-08-26 14:45:00,3378.98,3380.23,3376.74,3377.49,1020,8,0,,3.4900000000002365,,,-0.00042617041489467766,hold,0,0.0,1.0,
2025-08-26 15:00:00,3377.48,3379.26,3376.08,3377.97,1105,5,0,,3.180000000000291,3.5321428571428766,0.10456406827600234,0.0001421173711839696,hold,0,0.0,1.0,
2025-08-26 15:15:00,3378.01,3379.79,3376.72,3376.91,1015,14,0,,3.0700000000001637,3.5850000000000364,0.10616214231353625,-0.00031379793189401095,hold,0,0.0,1.0,
2025-08-26 15:30:00,3376.95,3378.93,3375.56,3378.14,1029,15,0,,3.369999999999891,3.6157142857143105,0.10703269508410872,0.00036423831254017713,hold,0,0.0,1.0,
2025-08-26 15:45:00,3378.22,3378.43,3371.05,3371.94,1093,7,0,,7.379999999999654,3.8578571428571586,0.11441061059381716,-0.0018353295008495252,hold,0,0.0,1.0,
2025-08-26 16:00:00,3371.92,3374.46,3370.59,3372.52,1347,14,0,,3.869999999999891,3.8742857142856986,0.11487806489763437,0.00017200780559556428,hold,0,0.0,1.0,
2025-08-26 16:15:00,3372.53,3373.74,3370.67,3373.71,1154,17,0,3.0207745172736513,3.069999999999709,3.815714285714226,0.11310143093846908,0.00035285187337663615,hold,0,0.0,1.0,
2025-08-26 16:30:00,3373.62,3378.04,3373.59,3377.47,1429,5,0,3.009749246418236,4.449999999999818,3.8335714285713687,0.1135042333039633,0.0011145000607639677,hold,0,0.0,1.0,
2025-08-26 16:45:00,3377.42,3377.59,3372.81,3375.72,1239,13,0,2.988276391077814,4.7800000000002,3.9935714285713857,0.11830280439643649,-0.000518139317299604,hold,0,0.0,1.0,
2025-08-26 17:00:00,3375.61,3375.86,3370.53,3371.48,1382,5,0,3.032105573776343,5.329999999999927,4.129285714285678,0.12247694526693552,-0.00125602834358296,hold,0,0.0,1.0,
2025-08-26 17:15:00,3371.46,3376.28,3370.39,3374.2,1250,5,0,3.0276956671090285,5.890000000000327,4.2942857142857065,0.12726826252995396,0.0008067673543963316,hold,0,0.0,1.0,
2025-08-26 17:30:00,3374.16,3377.03,3373.64,3376.41,1165,14,0,3.0204312605983006,3.3900000000003274,4.072857142857174,0.1206268534584714,0.0006549700669788994,hold,0,0.0,1.0,
2025-08-26 17:45:00,3376.43,3379.54,3376.02,3379.35,1243,12,0,3.125142691479106,3.519999999999982,4.144285714285745,0.1226355871479943,0.0008707473322255854,hold,0,0.0,1.0,
2025-08-26 18:00:00,3379.38,3382.1,3378.64,3381.42,1068,15,0,3.3228859919940628,3.4600000000000364,4.1607142857143185,0.12304636175672701,0.0006125438323938415,buy,1,0.0,1.0,
2025-08-26 18:15:00,3381.42,3383.55,3379.66,3381.95,1025,5,0,3.412702085784455,3.8900000000003274,4.189285714285753,0.123871899770421,0.0001567388848471296,hold,1,0.0005299999999996974,1.0005299999999997,
2025-08-26 18:30:00,3381.94,3384.92,3381.61,3384.76,1034,15,0,3.552852486309763,3.3099999999999454,4.198571428571443,0.12404340126246595,0.0008308815919810808,hold,1,0.0028085114889113694,1.0033400000000001,
2025-08-26 18:45:00,3384.91,3389.39,3383.85,3386.67,1132,5,0,3.985672333167136,5.539999999999964,4.375,0.12918294371757508,0.0005642940710715028,hold,1,0.0019036418362667895,1.00525,
2025-08-26 19:00:00,3386.66,3387.66,3384.68,3385.3,1047,16,0,4.327440108741372,2.980000000000018,4.347142857142866,0.12841233737461571,-0.0004045271608984491,hold,1,-0.0013628450634169953,1.00388,
2025-08-26 19:15:00,3385.19,3385.91,3383.08,3384.5,934,16,0,4.563229004485302,2.8299999999999272,4.022142857142886,0.11884009032775554,-0.00023631583611505302,hold,1,-0.0007969079969719628,1.00308,
2025-08-26 19:30:00,3384.48,3385.85,3383.33,3383.35,742,10,0,4.698239423892588,2.519999999999982,3.925714285714321,0.11603039253149454,-0.00033978431082881677,hold,1,-0.0011464688758624497,1.0019299999999998,
2025-08-26 19:45:00,3383.34,3383.5,3382.53,3382.99,686,17,0,4.7921543336899415,0.9699999999997999,3.775714285714327,0.11160879239117844,-0.00010640341673195941,hold,1,-0.0003593065383810101,1.0015699999999996,
2025-08-26 20:00:00,3383.01,3384.1,3382.68,3383.38,646,16,0,4.892222909885566,1.4200000000000728,3.559285714285774,0.10519911196158202,0.000115282634592484,hold,1,0.00038938865980453485,1.00196,
2025-08-26 20:15:00,3383.39,3385.94,3383.24,3384.0,889,16,0,4.980609875994322,2.700000000000273,3.410714285714351,0.10078942924687798,0.00018324870395880488,hold,1,0.0006187871771328179,1.00258,
2025-08-26 20:30:00,3383.99,3384.17,3381.53,3381.88,736,17,0,4.99850082788093,2.6399999999998727,3.2185714285714897,0.09517107137365872,-0.0006264775413711288,hold,1,-0.0021145444752537212,1.0004600000000001,
2025-08-26 20:45:00,3381.87,3382.97,3381.57,3381.69,614,5,0,4.671749221596285,1.3999999999996362,2.8978571428571547,0.08569257214165564,-5.618176872035363e-05,hold,1,-0.00018991264018553,1.00027,
2025-08-26 21:00:00,3381.69,3382.55,3380.33,3382.54,807,17,0,4.337142249771136,2.2200000000002547,2.8142857142857207,0.08320036760203045,0.0002513536131343308,hold,1,0.0008497705619481266,1.0011199999999998,
