time,open,high,low,close,tick_volume,spread,real_volume,returns,atr,rsi,ema_fast,ema_slow,vwap,signal,stop_loss,take_profit_1,take_profit_2,position,strategy_returns,cumulative,total_commission
2025-08-26 20:30:00,3383.99,3384.17,3381.53,3381.88,736,17,0,-0.0006264775413711288,3.2185714285714897,73.63636363636336,3378.76947007856,3377.7846254305605,3377.339096628775,hold,,,,0.0,0.0,1.0003756808402062,
2025-08-26 20:45:00,3381.87,3382.97,3381.57,3381.69,614,5,0,-5.618176872035363e-05,2.8978571428571547,69.23472008217762,3378.8840006637147,3377.823484879013,3377.415290881945,hold,,,,0.0,0.0,1.0003756808402062,
2025-08-26 21:00:00,3381.69,3382.55,3380.33,3382.54,807,17,0,0.0002513536131343308,2.8142857142857207,66.92435118718916,3379.0273731867064,3377.8704153777294,3377.5061958752312,buy,3379.7257142857143,3384.7914285714287,3387.042857142857,1.0,-0.0003755397571147956,1.0,
2025-08-26 21:15:00,3382.47,3383.28,3381.47,3382.79,714,11,0,7.39089559915751e-05,2.6921428571428936,61.154345006484874,3379.1749271793847,3377.9193664684985,3377.596253211749,hold,,,,1.0,0.0002500000000000835,1.00025,
2025-08-26 21:30:00,3382.8,3384.5,3382.8,3384.34,665,16,0,0.0004582016619418816,2.5671428571428936,59.79865771812069,3379.3774790547027,3377.9832533693098,3377.699780987539,hold,,,,0.6666666666666666,0.001705722998313508,1.0019561494290632,
2025-08-26 21:45:00,3384.4,3385.6,3384.4,3385.56,714,15,0,0.00036048387573339724,2.3792857142857105,61.57793457344447,3379.619930856479,3378.0586438830483,3377.829917958956,hold,,,,0.33333333333333326,-0.001307862340312882,1.00064572871458,
2025-08-26 22:00:00,3385.59,3388.84,3385.17,3388.31,790,17,0,0.0008122733019058082,2.405000000000005,61.42949130714643,3379.9607178817155,3378.160647426501,3378.0112532543535,hold,,,,0.0,-0.0028502611729444016,0.997793627046152,
2025-08-26 22:15:00,3388.3,3389.3,3388.08,3388.49,712,17,0,5.312382869337995e-05,2.0964285714285973,56.59420289854958,3380.2951995334133,3378.263427054098,3378.188706952567,hold,,,,0.0,0.0,0.997793627046152,
2025-08-26 22:30:00,3388.47,3389.41,3387.93,3388.91,761,5,0,0.0001239490156381695,1.9892857142857403,64.04669260700223,3380.6330348458287,3378.369363103311,3378.3741509767733,hold,,,,0.0,0.0,0.997793627046152,
2025-08-26 22:45:00,3388.92,3390.83,3388.92,3389.6,960,5,0,0.00020360528901619546,1.9242857142857506,70.01569858712642,3380.9846805381494,3378.481110734124,3378.6213928517686,buy,3387.675714285714,3391.1394285714287,3392.678857142857,1.0,0.0022112518000136916,1.0,
2025-08-26 23:00:00,3389.78,3390.97,3389.21,3390.05,521,14,0,0.00013275902761389347,1.8700000000000208,77.8239202657809,3381.340183262144,3378.5962240601525,3378.7545491324754,hold,,,,1.0,0.0004500000000002835,1.0004500000000003,
2025-08-26 23:15:00,3390.03,3390.88,3389.76,3390.22,358,17,0,5.014675299763738e-05,1.880714285714313,80.50632911392437,3381.688411369511,3378.711883522241,3378.8459300412437,hold,,,,1.0,0.0001699235344090333,1.0006199999999998,
