time,open,high,low,close,signal,position,strategy_returns,rsi,macd_histogram,price_momentum,ema_fast,ema_slow,returns,cumulative,total_commission
2025-08-26 11:30:00,3378.81,3379.86,3377.2,3377.7,hold,0.0,0.0,,0.0,,3377.7,3377.7,0.0,1.0,6.849999999999984
2025-08-26 11:45:00,3377.56,3378.79,3376.46,3376.62,hold,0.0,0.0,,-0.0107692307691549,,3377.0924999999997,3377.1342857142854,-0.0003197442046363186,1.0,
2025-08-26 12:00:00,3376.6,3377.51,3374.57,3376.9,hold,0.0,0.0,,-0.005152419018575861,,3377.0117098445594,3377.0486404833837,8.292315984625986e-05,1.0,
2025-08-26 12:15:00,3376.91,3378.56,3374.57,3375.26,hold,0.0,0.0,,-0.04158769318678116,-0.0007223850549189503,3376.3977692307694,3376.535673346262,-0.00048565252154342264,1.0,
2025-08-26 12:30:00,3375.28,3375.28,3371.64,3372.5,hold,0.0,0.0,,-0.1272317335469697,-0.0012201550663089034,3375.1869712608304,3375.567854744394,-0.0008177147834538268,1.0,
2025-08-26 12:45:00,3372.42,3373.51,3369.62,3372.0,hold,0.0,0.0,,-0.16645960274280674,-0.0014510349729042193,3374.277396083056,3374.823122215871,-0.0001482579688658614,1.0,
2025-08-26 13:00:00,3372.05,3375.12,3370.92,3371.59,hold,0.0,0.0,,-0.18252208354178484,-0.0010873236432156208,3373.5559821903475,3374.2193939573767,-0.00012158956109131758,1.0,
2025-08-26 13:15:00,3371.67,3372.91,3370.37,3370.67,hold,0.0,0.0,,-0.20671489483689243,-0.0005426241660488884,3372.8154858129624,3373.6145642634438,-0.0002728682906284474,1.0,
2025-08-26 13:30:00,3370.52,3370.72,3367.29,3369.38,hold,0.0,0.0,,-0.2501744716783028,-0.0007769869513641892,3371.963278892856,3372.946116971217,-0.00038271322912064587,1.0,
2025-08-26 13:45:00,3369.41,3372.59,3369.01,3371.99,hold,0.0,0.0,,-0.14824254289881056,0.00011863838722958597,3371.969740381998,3372.804659122095,0.0007746232244507656,1.0,
2025-08-26 14:00:00,3372.16,3377.16,3370.67,3376.35,hold,0.0,0.0,,0.105027867806113,0.0016851249158178483,3373.0085894953386,3373.300888050377,0.0012930050207742294,1.0,
2025-08-26 14:15:00,3376.44,3378.41,3375.89,3378.32,hold,0.0,0.0,,0.33301828708781406,0.002653307136624594,3374.249728600281,3373.9705439672734,0.0005834703155775944,1.0,
2025-08-26 14:30:00,3378.34,3379.63,3376.4,3378.93,hold,0.0,0.0,,0.4756892956233286,0.0020581318449937047,3375.331004195484,3374.6052575117974,0.0001805631201305946,1.0,
2025-08-26 14:45:00,3378.98,3380.23,3376.74,3377.49,hold,0.0,0.0,49.47156517362849,0.4668811190819741,0.0003376427206893684,3375.8254394507067,3374.961251055221,-0.00042617041489467766,1.0,
2025-08-26 15:00:00,3377.48,3379.26,3376.08,3377.97,hold,0.0,0.0,50.66339066339062,0.45680746994146043,-0.00010360179023904958,3376.3132568485053,3375.32086158929,0.0001421173711839696,1.0,
2025-08-26 15:15:00,3378.01,3379.79,3376.72,3376.91,hold,0.0,0.0,50.71323167732407,0.3721824209492663,-0.0005978223875605648,3376.448288152271,3375.5055145906413,-0.00031379793189401095,1.0,
