time,close,signal,position,strategy_returns,osc,heat_zone,wma,returns,cumulative,total_commission
2025-08-26 11:30:00,3377.7,hold,0.0,0.0,0.0,0.0,,0.0,1.0,57.49999999999887
2025-08-26 11:45:00,3376.62,hold,0.0,0.0,0.0,0.0,,-0.0003197442046363186,1.0,
2025-08-26 12:00:00,3376.9,hold,0.0,0.0,0.0,0.0,,8.292315984625986e-05,1.0,
2025-08-26 12:15:00,3375.26,hold,0.0,0.0,0.0,0.0,,-0.00048565252154342264,1.0,
2025-08-26 12:30:00,3372.5,hold,0.0,0.0,0.0,0.0,,-0.0008177147834538268,1.0,
2025-08-26 12:45:00,3372.0,hold,0.0,0.0,0.0,0.0,,-0.0001482579688658614,1.0,
2025-08-26 13:00:00,3371.59,hold,0.0,0.0,0.0,0.0,,-0.00012158956109131758,1.0,
2025-08-26 13:15:00,3370.67,hold,0.0,0.0,0.0,0.0,,-0.0002728682906284474,1.0,
2025-08-26 13:30:00,3369.38,hold,0.0,0.0,0.0,0.0,,-0.00038271322912064587,1.0,
2025-08-26 13:45:00,3371.99,hold,0.0,0.0,0.0,0.0,,0.0007746232244507656,1.0,
2025-08-26 14:00:00,3376.35,hold,0.0,0.0,0.0,0.0,,0.0012930050207742294,1.0,
2025-08-26 14:15:00,3378.32,hold,0.0,0.0,0.0,0.0,,0.0005834703155775944,1.0,
2025-08-26 14:30:00,3378.93,hold,0.0,0.0,0.0,0.0,,0.0001805631201305946,1.0,
2025-08-26 14:45:00,3377.49,hold,0.0,0.0,0.0,0.0,,-0.00042617041489467766,1.0,
2025-08-26 15:00:00,3377.97,hold,0.0,0.0,0.0,0.0,,0.0001421173711839696,1.0,
2025-08-26 15:15:00,3376.91,hold,0.0,0.0,0.0,0.0,,-0.00031379793189401095,1.0,
2025-08-26 15:30:00,3378.14,hold,0.0,0.0,0.0,0.0,,0.00036423831254017713,1.0,
2025-08-26 15:45:00,3371.94,hold,0.0,0.0,0.0,0.0,,-0.0018353295008495252,1.0,
2025-08-26 16:00:00,3372.52,hold,0.0,0.0,0.0,0.0,,0.00017200780559556428,1.0,
2025-08-26 16:15:00,3373.71,hold,0.0,0.0,0.0,0.0,,0.00035285187337663615,1.0,
2025-08-26 16:30:00,3377.47,hold,0.0,0.0,0.0,0.0,,0.0011145000607639677,1.0,
2025-08-26 16:45:00,3375.72,hold,0.0,0.0,0.0,0.0,,-0.000518139317299604,1.0,
2025-08-26 17:00:00,3371.48,hold,0.0,0.0,0.0,0.0,,-0.00125602834358296,1.0,
2025-08-26 17:15:00,3374.2,hold,0.0,0.0,0.0,0.0,,0.0008067673543963316,1.0,
2025-08-26 17:30:00,3376.41,hold,0.0,0.0,0.0,0.0,,0.0006549700669788994,1.0,
2025-08-26 17:45:00,3379.35,hold,0.0,0.0,0.0,0.0,,0.0008707473322255854,1.0,
2025-08-26 18:00:00,3381.42,hold,0.0,0.0,0.0,0.0,,0.0006125438323938415,1.0,
2025-08-26 18:15:00,3381.95,hold,0.0,0.0,0.0,0.0,,0.0001567388848471296,1.0,
2025-08-26 18:30:00,3384.76,hold,0.0,0.0,0.0,0.0,,0.0008308815919810808,1.0,
2025-08-26 18:45:00,3386.67,hold,0.0,0.0,0.0,0.0,,0.0005642940710715028,1.0,
2025-08-26 19:00:00,3385.3,hold,0.0,0.0,0.0,0.0,,-0.0004045271608984491,1.0,
2025-08-26 19:15:00,3384.5,hold,0.0,0.0,0.0,0.0,,-0.00023631583611505302,1.0,
2025-08-26 19:30:00,3383.35,hold,0.0,0.0,0.0,0.0,,-0.00033978431082881677,1.0,
2025-08-26 19:45:00,3382.99,hold,0.0,0.0,0.0,0.0,,-0.00010640341673195941,1.0,
2025-08-26 20:00:00,3383.38,hold,0.0,0.0,0.0,0.0,,0.000115282634592484,1.0,
2025-08-26 20:15:00,3384.0,hold,0.0,0.0,0.0,0.0,,0.00018324870395880488,1.0,
2025-08-26 20:30:00,3381.88,hold,0.0,0.0,0.0,0.0,,-0.0006264775413711288,1.0,
2025-08-26 20:45:00,3381.69,hold,0.0,0.0,0.0,0.0,,-5.618176872035363e-05,1.0,
2025-08-26 21:00:00,3382.54,hold,0.0,0.0,0.0,0.0,,0.0002513536131343308,1.0,
2025-08-26 21:15:00,3382.79,hold,0.0,0.0,0.0,0.0,,7.39089559915751e-05,1.0,
2025-08-26 21:30:00,3384.34,hold,0.0,0.0,0.0,0.0,,0.0004582016619418816,1.0,
2025-08-26 21:45:00,3385.56,hold,0.0,0.0,0.0,0.0,,0.00036048387573339724,1.0,
2025-08-26 22:00:00,3388.31,hold,0.0,0.0,0.0,0.0,,0.0008122733019058082,1.0,
2025-08-26 22:15:00,3388.49,hold,0.0,0.0,0.0,0.0,,5.312382869337995e-05,1.0,
2025-08-26 22:30:00,3388.91,hold,0.0,0.0,0.0,0.0,,0.0001239490156381695,1.0,
2025-08-26 22:45:00,3389.6,hold,0.0,0.0,0.0,0.0,,0.00020360528901619546,1.0,
2025-08-26 23:00:00,3390.05,hold,0.0,0.0,0.0,0.0,,0.00013275902761389347,1.0,
2025-08-26 23:15:00,3390.22,hold,0.0,0.0,0.0,0.0,,5.014675299763738e-05,1.0,
2025-08-26 23:30:00,3391.07,hold,0.0,0.0,0.0,0.0,,0.00025072119213520594,1.0,
2025-08-26 23:45:00,3392.96,hold,0.0,0.0,0.0,0.0,3378.5157842232165,0.0005573462063594992,1.0,
2025-08-27 01:00:00,3389.36,hold,0.0,0.0,166.95500794162405,0.0,3379.017955664918,-0.0010610204659058375,1.0,
2025-08-27 01:15:00,3389.68,hold,0.0,0.0,172.42986407331205,0.0,3379.096122304823,9.441310453883744e-05,1.0,
2025-08-27 01:30:00,3390.78,hold,0.0,0.0,188.39485989463515,0.0,3379.269429522438,0.0003245144084398355,1.0,
2025-08-27 01:45:00,3391.06,hold,0.0,0.0,193.15607159062228,0.0,3379.3990964187883,8.257687021862026e-05,1.0,
2025-08-27 02:00:00,3391.7,hold,0.0,0.0,199.57079555069825,0.0,3379.7627635781328,0.00018873154706788853,1.0,
2025-08-27 02:15:00,3391.65,hold,0.0,0.0,199.6361243681526,0.0,3379.8236985896624,-1.4741869858725387e-05,1.0,
2025-08-27 02:30:00,3390.53,hold,0.0,0.0,178.30248571148493,0.0,3380.030173271243,-0.00033022275293737025,1.0,
2025-08-27 02:45:00,3390.87,hold,0.0,0.0,182.537805008032,0.0,3380.1972033733923,0.00010027930736478119,1.0,
