time,open,high,low,close,tick_volume,spread,real_volume,volatility,tr,atr,rsi,ema_trend,vwma,momentum,vol_ratio,returns,signal,position,strategy_returns,cumulative,total_commission
2025-08-26 11:30:00,3378.81,3379.86,3377.2,3377.7,813,16,0,,,,,3377.7,,,,0.0,hold,0,0.0,1.0,0.06
2025-08-26 11:45:00,3377.56,3378.79,3376.46,3376.62,982,17,0,,2.3299999999999272,,,3377.1491999999994,,,,-0.0003197442046363186,hold,0,0.0,1.0,
2025-08-26 12:00:00,3376.6,3377.51,3374.57,3376.9,835,15,0,,2.9400000000000546,,,3377.0627889614716,,,,8.292315984625986e-05,hold,0,0.0,1.0,
2025-08-26 12:15:00,3376.91,3378.56,3374.57,3375.26,911,14,0,,3.9899999999997817,,,3376.584696681327,,,,-0.00048565252154342264,hold,0,0.0,1.0,
2025-08-26 12:30:00,3375.28,3375.28,3371.64,3372.5,1064,11,0,,3.6400000000003274,,,3375.701122158877,,,,-0.0008177147834538268,hold,0,0.0,1.0,
2025-08-26 12:45:00,3372.42,3373.51,3369.62,3372.0,1074,14,0,,3.8900000000003274,,,3375.02097281251,,,,-0.0001482579688658614,hold,0,0.0,1.0,
2025-08-26 13:00:00,3372.05,3375.12,3370.92,3371.59,868,5,0,,4.199999999999818,,,3374.4700987332412,,,,-0.00012158956109131758,hold,0,0.0,1.0,
2025-08-26 13:15:00,3371.67,3372.91,3370.37,3370.67,673,5,0,,2.5399999999999636,,,3373.9259829979287,,,,-0.0002728682906284474,hold,0,0.0,1.0,
2025-08-26 13:30:00,3370.52,3370.72,3367.29,3369.38,997,5,0,,3.4299999999998363,,,3373.336369583849,,,,-0.00038271322912064587,hold,0,0.0,1.0,
2025-08-26 13:45:00,3369.41,3372.59,3369.01,3371.99,763,5,0,,3.5799999999999272,,,3373.1762352460273,,,,0.0007746232244507656,hold,0,0.0,1.0,
2025-08-26 14:00:00,3372.16,3377.16,3370.67,3376.35,1091,15,0,,6.489999999999782,,,3373.525844470225,,-0.0003996802557952872,,0.0012930050207742294,hold,0,0.0,1.0,
2025-08-26 14:15:00,3376.44,3378.41,3375.89,3378.32,1007,5,0,,2.519999999999982,,,3374.0189671789162,,0.0005034620419237523,,0.0005834703155775944,hold,0,0.0,1.0,
2025-08-26 14:30:00,3378.34,3379.63,3376.4,3378.93,1075,13,0,,3.230000000000018,,,3374.49388629307,,0.0006011430602030909,,0.0001805631201305946,hold,0,0.0,1.0,
2025-08-26 14:45:00,3378.98,3380.23,3376.74,3377.49,1020,8,0,,3.4900000000002365,,49.47156517362849,3374.767872884893,,0.0006606898431527064,,-0.00042617041489467766,hold,0,0.0,1.0,
2025-08-26 15:00:00,3377.48,3379.26,3376.08,3377.97,1105,5,0,,3.180000000000291,3.5321428571428766,50.66339066339062,3375.04616328783,,0.0016219421793921551,,0.0001421173711839696,hold,0,0.0,1.0,
2025-08-26 15:15:00,3378.01,3379.79,3376.72,3376.91,1015,14,0,,3.0700000000001637,3.5850000000000364,50.71323167732407,3375.2007719325898,,0.001456109134045036,,-0.00031379793189401095,hold,0,0.0,1.0,
2025-08-26 15:30:00,3376.95,3378.93,3375.56,3378.14,1029,15,0,,3.369999999999891,3.6157142857143105,52.91353383458599,3375.434369587967,,0.0019427035908872181,,0.00036423831254017713,hold,0,0.0,1.0,
