time,open,high,low,close,tick_volume,spread,real_volume,signal,returns,position,strategy_returns,cumulative,total_commission
2025-11-07 13:36:00,3996.7,3997.65,3996.5,3997.18,81,16,0,hold,0.0,0,0.0,1.0,0.07
2025-11-07 13:37:00,3997.2,3997.24,3995.61,3995.61,78,17,0,hold,-0.00039277690771988283,0,0.0,1.0,
2025-11-07 13:38:00,3995.59,3996.99,3995.57,3996.26,81,17,0,hold,0.00016267853969731405,0,0.0,1.0,
2025-11-07 13:39:00,3996.46,3996.68,3995.32,3995.43,74,17,0,hold,-0.00020769419407151712,0,0.0,1.0,
2025-11-07 13:40:00,3995.47,3996.24,3994.33,3994.61,82,17,0,hold,-0.0002052344803937789,0,0.0,1.0,
2025-11-07 13:41:00,3994.63,3995.2,3993.57,3995.16,87,16,0,hold,0.00013768553125337313,0,0.0,1.0,
2025-11-07 13:42:00,3995.19,3997.06,3994.95,3997.03,83,7,0,hold,0.00046806636029605997,0,0.0,1.0,
2025-11-07 13:43:00,3997.07,3999.6,3996.99,3999.6,89,17,0,hold,0.0006429774107274966,0,0.0,1.0,
2025-11-07 13:44:00,3999.47,3999.5,3997.57,3998.35,76,17,0,hold,-0.0003125312531253588,0,0.0,1.0,
2025-11-07 13:45:00,3998.35,4000.64,3998.35,4000.06,78,17,0,hold,0.0004276764165218605,0,0.0,1.0,
2025-11-07 13:46:00,4000.03,4001.87,3999.96,4000.95,74,17,0,hold,0.0002224966625499203,0,0.0,1.0,
2025-11-07 13:47:00,4001.18,4001.18,3999.73,3999.89,83,17,0,hold,-0.0002649370774441273,0,0.0,1.0,
2025-11-07 13:48:00,4000.04,4000.97,3999.99,3999.99,84,17,0,hold,2.500068751887241e-05,0,0.0,1.0,
2025-11-07 13:49:00,4000.03,4001.4,3999.88,4001.29,74,17,0,hold,0.0003250008125019743,0,0.0,1.0,
2025-11-07 13:50:00,4001.29,4002.39,3999.59,4000.29,88,17,0,hold,-0.00024991940099317045,0,0.0,1.0,
2025-11-07 13:51:00,4000.31,4002.44,4000.3,4002.1,89,17,0,hold,0.00045246719612834774,0,0.0,1.0,
2025-11-07 13:52:00,4002.16,4002.8,4001.9,4002.53,76,17,0,hold,0.00010744359211423138,0,0.0,1.0,
2025-11-07 13:53:00,4002.54,4003.12,4002.05,4002.76,82,9,0,hold,5.74636542387541e-05,0,0.0,1.0,
2025-11-07 13:54:00,4002.81,4004.09,4002.81,4003.51,77,18,0,hold,0.00018737071420726892,0,0.0,1.0,
2025-11-07 13:55:00,4003.5,4003.76,4001.39,4001.65,80,18,0,hold,-0.0004645923202389879,0,0.0,1.0,
