time,open,high,low,close,tick_volume,spread,real_volume,returns,rsi,atr,volatility_ratio,signal,momentum,position_size,stop_loss,take_profit,position,strategy_returns,cumulative,total_commission
2025-08-26 11:30:00,3378.81,3379.86,3377.2,3377.7,813,16,0,0.0,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,38.14999999999997
2025-08-26 11:45:00,3377.56,3378.79,3376.46,3376.62,982,17,0,-0.0003197442046363186,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 12:00:00,3376.6,3377.51,3374.57,3376.9,835,15,0,8.292315984625986e-05,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 12:15:00,3376.91,3378.56,3374.57,3375.26,911,14,0,-0.00048565252154342264,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 12:30:00,3375.28,3375.28,3371.64,3372.5,1064,11,0,-0.0008177147834538268,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 12:45:00,3372.42,3373.51,3369.62,3372.0,1074,14,0,-0.0001482579688658614,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 13:00:00,3372.05,3375.12,3370.92,3371.59,868,5,0,-0.00012158956109131758,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 13:15:00,3371.67,3372.91,3370.37,3370.67,673,5,0,-0.0002728682906284474,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 13:30:00,3370.52,3370.72,3367.29,3369.38,997,5,0,-0.00038271322912064587,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 13:45:00,3369.41,3372.59,3369.01,3371.99,763,5,0,0.0007746232244507656,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 14:00:00,3372.16,3377.16,3370.67,3376.35,1091,15,0,0.0012930050207742294,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 14:15:00,3376.44,3378.41,3375.89,3378.32,1007,5,0,0.0005834703155775944,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 14:30:00,3378.34,3379.63,3376.4,3378.93,1075,13,0,0.0001805631201305946,,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 14:45:00,3378.98,3380.23,3376.74,3377.49,1020,8,0,-0.00042617041489467766,49.47156517362849,,0.0,hold,NEUTRAL,1.0,,,0.0,0.0,1.0,
2025-08-26 15:00:00,3377.48,3379.26,3376.08,3377.97,1105,5,0,0.0001421173711839696,50.66339066339062,,0.0,hold,BULLISH,1.0,,,0.0,0.0,1.0,
2025-08-26 15:15:00,3378.01,3379.79,3376.72,3376.91,1015,14,0,-0.00031379793189401095,50.71323167732407,,0.0,hold,BULLISH,1.0,,,0.0,0.0,1.0,
